"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
-22.469,-0.073208,-0.048314,-0.099134,1,11.391,15.92,2.1431,7.3424
-22.467,-0.073607,-0.047966,-0.099846,1,11.432,15.899,2.1283,7.3099
-22.465,-0.073926,-0.047546,-0.10035,1,11.474,15.878,2.1137,7.2768
-22.462,-0.074119,-0.046986,-0.10067,1,11.515,15.858,2.0994,7.2438
-22.46,-0.074185,-0.046268,-0.10071,1,11.557,15.837,2.0855,7.2106
-22.457,-0.074159,-0.045432,-0.10049,1,11.598,15.816,2.0719,7.1775
-22.454,-0.074028,-0.044464,-0.10007,1,11.64,15.795,2.0584,7.1439
-22.451,-0.073795,-0.043334,-0.099339,1,11.682,15.773,2.0451,7.1105
-22.447,-0.073535,-0.042115,-0.098429,1,11.724,15.752,2.0324,7.0773
-22.444,-0.073171,-0.040714,-0.097266,1,11.765,15.731,2.0198,7.044
-22.44,-0.072843,-0.039249,-0.095932,1,11.807,15.709,2.0073,7.0106
-22.436,-0.072552,-0.037684,-0.094464,1,11.848,15.688,1.9952,6.9774
-22.432,-0.072332,-0.035991,-0.09285,1,11.89,15.666,1.9832,6.9439
-22.428,-0.072269,-0.034284,-0.091254,1,11.932,15.644,1.9715,6.9105
-22.423,-0.072389,-0.032525,-0.089652,1,11.974,15.621,1.9601,6.877
-22.418,-0.072785,-0.030791,-0.088191,1,12.015,15.599,1.9491,6.844
-22.413,-0.073587,-0.029087,-0.086922,1,12.057,15.576,1.9383,6.8108
-22.408,-0.074736,-0.027492,-0.086108,1,12.097,15.554,1.928,6.7782
-22.402,-0.076382,-0.026,-0.085457,1,12.138,15.532,1.9181,6.7457
-22.396,-0.078434,-0.024592,-0.085309,1,12.179,15.509,1.9084,6.7135
-22.39,-0.08109,-0.023347,-0.085664,1,12.219,15.487,1.8988,6.6812
-22.384,-0.084399,-0.022319,-0.086531,1,12.26,15.464,1.8893,6.649
-22.378,-0.088256,-0.021484,-0.088102,1,12.3,15.441,1.8804,6.6172
-22.372,-0.092711,-0.02085,-0.090112,1,12.34,15.419,1.8716,6.5855
-22.365,-0.097611,-0.020339,-0.092613,1,12.38,15.395,1.8629,6.5539
-22.359,-0.10309,-0.020023,-0.095716,1,12.42,15.372,1.8543,6.5224
-22.353,-0.10901,-0.0199,-0.099246,1,12.46,15.349,1.8459,6.491
-22.346,-0.11537,-0.019951,-0.10322,1,12.5,15.326,1.8377,6.4598
-22.34,-0.12188,-0.020107,-0.10751,1,12.539,15.302,1.8297,6.4291
-22.335,-0.12857,-0.020372,-0.11188,1,12.578,15.279,1.822,6.3985
-22.329,-0.13532,-0.020678,-0.11641,1,12.618,15.255,1.8145,6.3679
-22.323,-0.14194,-0.021061,-0.12088,1,12.657,15.231,1.8074,6.3381
